Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average
Russell Cave NM,36375,24087,23374,20717,20954,20456,18530,19430,24649,24377,23295
Sagamore Hill NHS,53772,53800,55149,53336,20097,14639,19319,42326,53920,55186,42154
Saguaro NP,699137,665234,717614,610045,634286,678261,673572,753446,820426,964760,721678
Saint Croix Island International Historic Site,,,,,,10709,11588,12557,13857,11872,12117
Saint Croix NSR,523595,564326,188400,273729,221028,342942,671582,623122,708258,772475,488946
Saint Paul's Church NHS,14538,14432,16362,14926,16188,14016,16460,17180,20830,21190,16612
Saint-Gaudens NHS,29819,34558,30941,32695,33663,37837,37785,39242,42377,37556,35647
Salem Maritime NHS,856935,723088,806506,737073,756038,426328,403758,264780,371989,373630,572013
Salinas Pueblo Missions NM,31248,37848,32941,29786,29228,24836,30537,29672,32414,35148,31366
Salt River Bay NHP & Ecological Pres,2184,2540,204,2419,5217,4791,5192,8108,16449,10567,5767
San Antonio Missions NHP,1303212,1567667,1304690,568021,614810,521705,1395337,1322154,1358911,1381383,1133789
San Francisco Maritime NHP,4086211,4152497,4130970,4224897,4129983,4154455,4256888,4173014,4334752,4493519,4213719
San Juan Island NHP,255492,274642,263370,266717,261139,220960,268946,258668,316122,267209,265327
San Juan NHS,1135577,1069673,1105252,1229590,1279814,1328802,1382906,1532818,1456553,1188780,1270977
Sand Creek Massacre NHS,,,4063,3935,4384,4795,7402,5887,6847,6535,5481
Santa Monica Mountains NRA,419374,501573,568371,609636,649471,633054,694714,797126,906606,897593,667752
Saratoga NHP,88834,89366,63719,65043,57688,54364,58773,65010,102808,97781,74339
Saugus Iron Works NHS,12433,10529,10775,11121,11611,8154,11181,9327,11159,12256,10855
Scotts Bluff NM,111849,121391,133795,128811,122515,108127,119159,131122,130085,152560,125941
Sequoia NP,930011,965170,1002979,1006583,1106584,909274,1039137,1097464,1254688,1291256,1060315
Shenandoah NP,1075878,1120981,1253386,1209883,1210200,1136505,1255321,1321873,1437341,1458874,1248024
Shiloh NMP,357340,404134,317046,387816,587620,536206,409086,356535,421862,435107,421275
Sitka NHP,241407,246866,189176,186864,195157,161157,157297,185150,217141,194880,197510
Sleeping Bear Dunes NL,1008135,1165836,1280932,1348304,1531560,1340007,1395401,1535633,1683553,1678126,1396749
Springfield Armory NHS,17358,17779,16876,16161,16978,17782,20595,21825,22434,25109,19290
Statue of Liberty NM,3555244,3829483,3833288,3749982,3029443,1883544,4198815,4279020,4501547,4441988,3730235
Steamtown NHS,71123,65144,104855,111725,106309,81174,84257,89592,99660,103956,91780
Stones River NB,198918,189952,187559,187208,260537,258242,272499,264925,346213,230562,239662
Stonewall NM,,,,,,,,,,106791,106791
Sunset Crater Volcano NM,209399,187397,158819,185265,177793,184864,176723,182203,60233,119454,164215
Tallgrass Prairie NPRES,20075,23713,22047,17893,18918,16128,17776,29558,29378,30773,22626
Thaddeus Kosciuszko NMEM,3918,3357,2888,1949,2045,1682,1475,1261,2794,2293,2366
Theodore Roosevelt Birthplace NHS,18590,14390,15029,6537,17930,18676,21065,6685,6582,24884,15037
Theodore Roosevelt Inaugural NHS,834,11735,17491,17107,18875,19198,22025,24896,29199,28585,18995
Theodore Roosevelt Island,109156,141559,116035,137690,149754,162599,146500,159740,164360,168195,145559
Theodore Roosevelt NP,516804,586928,623748,563407,640555,545090,559580,580033,753880,708003,607803
Thomas Edison NHP,8027,27061,63009,55284,52554,46677,51344,56317,57694,59323,47729
Thomas Jefferson MEM,2363263,2337868,2305856,1945696,2613131,2609463,2708607,3102442,3414345,3366571,2676724
Thomas Stone NHS,5720,6268,6004,6351,6426,6013,5843,5772,10652,10250,6930
Timpanogos Cave NM,123682,138571,120241,96965,118764,91269,95679,104023,91261,100740,108120
Timucuan EHP,1038888,1195171,993948,1028922,1076310,1031667,1121318,1239423,1148494,1218306,1109245
Tonto NM,63553,60534,60497,53426,51881,39632,36360,37523,38048,40898,48235
Tumacacori NHP,45079,40637,39866,33740,35158,31433,38017,42146,43829,46308,39621
Tuskegee Airmen NHS,50331,58417,60827,16244,23716,19301,24319,22662,31133,39322,34627
Tuskegee Institute NHS,52027,31360,23230,23288,24030,47766,11786,7961,8452,20407,25031
Tuzigoot NM,102811,106250,103274,101104,97388,85746,74903,95065,104604,109388,98053
Ulysses S. Grant NHS,45959,40703,39967,35664,39373,38604,40287,39048,46071,59761,42544
Upper Delaware S&RR,284347,258311,306468,270390,255586,228464,230845,243246,264362,253537,259556
Valley Forge NHP,1275871,1449228,1617511,1303046,1442750,1962889,1990881,2143965,2428724,2159592,1777446
Vanderbilt Mansion NHS,360334,380460,390525,367680,423107,372569,398447,431961,387856,360436,387338
Vicksburg NMP,555109,584105,581459,796035,573262,573838,550874,532444,508914,475074,573111
Vietnam Veterans MEM,4243573,4437771,4555371,4020127,4424407,4142721,4403467,5597077,5299713,5072589,4619682
Virgin Islands NP,469034,415847,493477,442414,483341,438601,426930,438372,411343,304408,432377
Voyageurs NP,221585,222429,253891,177184,214841,233390,239160,238313,241912,237250,227996
Waco Mammoth NM,,,,,,,,20551,69510,101792,63951
Walnut Canyon NM,101833,128299,126552,125003,110748,125267,135230,153322,152444,165134,132383
War in the Pacific NHP,187005,271608,219349,482391,255923,266267,266191,322463,488988,384610,314480
Washington Monument,671031,676002,628665,430153,0,0,423170,493550,252677,0,357525
Washita Battlefield NHS,14579,10527,12552,10995,10615,8434,13186,12067,12312,11831,11710
Weir Farm NHS,18522,19386,19313,22415,21465,22862,34082,47220,39079,38096,28244
Whiskeytown NRA,676281,853812,788065,761710,814374,776025,851901,843845,875565,832063,807364
White House,519011,616890,922335,570057,656949,231627,569391,526263,611207,439725,566346
White Sands NM,438511,471167,470921,428924,447385,490544,503660,497506,555793,612468,491688
Whitman Mission NHS,53356,52605,58521,57611,60785,57686,58499,39525,50148,47757,53649
William Howard Taft NHS,16968,18802,21163,21141,19416,21102,23609,24385,30723,37425,23473
Wilson's Creek NB,120670,156230,185200,192865,167205,157309,161058,161004,183698,206346,169159
Wind Cave NP,573433,587868,577141,538394,529083,516142,547022,612198,617377,619924,571858
Wolf Trap NP for the Performing Arts,487197,466752,520397,425177,426996,441166,388283,407351,437513,424364,442520
Women's Rights NHP,23093,20620,22662,25426,29585,30137,30254,38139,52683,61806,33441
World War II Memorial,4153749,4118528,3964351,3752172,4161685,3934166,4230793,5068224,4856532,4876842,4311704
World War II Valor in the Pacific NM,1407879,1276868,1372724,1694896,1751224,1786024,1620814,1574156,1819020,1947495,1625110
Wrangell-St. Elias NP & PRES,65693,59966,73170,65225,87158,69984,74722,80366,79047,68292,72362
Wright Brothers NMEM,527721,476291,476200,445455,466816,447796,430517,437184,458776,414244,458100
Wupatki NM,239157,233284,221083,216165,201365,190878,195962,212828,223172,236454,217035
Yellowstone NP,3066580,3295187,3640185,3394326,3447729,3188030,3513484,4097710,4257177,4116524,3601693
Yosemite NP,3431514,3737472,3901408,3951393,3853404,3691191,3882642,4150217,5028868,4336890,3996500
Yukon-Charley Rivers NPRES,4942,6432,6211,1718,1393,3914,2329,1133,1146,952,3017
Zion NP,2690154,2735402,2665972,2825505,2973607,2807387,3189696,3648846,4295127,4504812,3233651
